Name,Sales,Date
Sebastian Waite,607193,1-1-2020
Lizzie Haggins,1171366,1-1-2020
Ima Gaudreau,941504,1-1-2020
Leticia Michelsen,721826,1-1-2020
Stanley Margolin,904494,1-1-2020
Carmine Hamburg,1053878,1-1-2020
Yukiko Post,859973,1-1-2020
Yuri Beltran,845274,1-1-2020
Geri Guan,1062639,1-1-2020
Belen Ruggiero,31768,1-1-2020
Neda Parise,708719,1-1-2020
Wendell Ginsburg,547279,1-1-2020
Buford Truss,1492244,1-1-2020
Taina Keifer,781441,1-1-2020
Emelia Anders,915154,1-1-2020
Sha Middlebrooks,1187419,1-1-2020
Mariette Huson,169286,1-1-2020
Cyrstal Dempsey,489065,1-1-2020
Donnie Mccrystal,1434297,1-1-2020
Evelyn Bonneau,330743,1-1-2020
Kenia Lozoya,941049,1-1-2020
Anderson Ojeda,336979,1-1-2020
Alejandrina Mandelbaum,218164,1-1-2020
Sarai Yoo,1454491,1-1-2020
Izola Adams,353845,1-1-2020
Wynona Palmieri,635893,1-1-2020
Rodger Steere,1077798,1-1-2020
Virgie Gibb,1117151,1-1-2020
Sachiko Sommerville,391464,1-1-2020
Elbert Setliff,799695,2-1-2020
Bonita Gunnerson,998153,2-1-2020
Chet Pitts,653398,2-1-2020
Williams Leno,13344,2-1-2020
Hildegarde Rench,266366,2-1-2020
Elliot Mccaffery,1265449,2-1-2020
Jane Carlton,2347,2-1-2020
Margene Walden,129835,2-1-2020
Deonna Byham,427132,2-1-2020
Wilber Simmer,710299,2-1-2020
Allene Hone,1219397,2-1-2020
Tanja Inks,811100,2-1-2020
Ryann Muise,380396,2-1-2020
Antony Fett,539406,2-1-2020
Ahmad Karlin,994887,2-1-2020
Adrianna Sweetland,1188147,2-1-2020
Dewitt Kennerson,715050,2-1-2020
Kallie Penrod,218912,2-1-2020
Melaine Steverson,270650,2-1-2020
Ervin Scalia,87484,2-1-2020
Nanci Walburn,106806,2-1-2020
Amy Shockley,965907,2-1-2020
Kendal Westerfield,220461,2-1-2020
Hilaria Ashmore,451352,2-1-2020
Rossana Hellums,1401016,2-1-2020
Chastity Immel,415097,2-1-2020
Nelly Mclain,243932,2-1-2020
Sha Middlebrooks,80656,2-1-2020
Golden Wallen,549815,2-1-2020
Anastacia Groseclose,806201,3-1-2020
Faustina Quesenberry,379904,3-1-2020
Layla Brothers,1390312,3-1-2020
Tilda Alarcon,1318453,3-1-2020
Lisbeth Almy,362718,3-1-2020
Thomasina Betances,739650,3-1-2020
Mica Coburn,1201371,3-1-2020
Buford Truss,542759,3-1-2020
Lakita Hakes,1376183,3-1-2020
Serina Ballantyne,999611,3-1-2020
